Feature,Importance
moyenne_cible,445
SEX_encoded,88
Familty_type_encoded,226
work_description_grouped,351
CURRENT_AGE_grouped,111
Emp_type_encoded,116
nb_obs,490
DEGREE_encoded,203
Nom de la commune_grouped,136
working_hours,237
inhabitants,259
activity_sector_grouped,106
job_dep_grouped,165
Employee_count_encoded,131
dep_grouped,190
Employer_type_encoded,203
pay,233
TERMS_OF_EMP_encoded,112
pay_male,149
pay_female,126
AGE_HOURS,156
PAY_PER_HOUR,114
PAY_PER_AGE,145
DEGREE_CONTRACT,113
COMMUNE_SIZE,179
FAMILY_EMP,92
SECTOR_HOURS,205
PAY_EMPLOYEES,156
salary_rank,5
hourly_wage,0
PAY_PER_inhabitants,193
